RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLSingle Family,SCLSingle FamilyElectric Vehicles,SCL,Single Family,Electric Vehicles,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseElectric Vehicles,SCL,Multifamily - Mid Rise,Electric Vehicles,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseElectric Vehicles,SCL,Multifamily - Low Rise,Electric Vehicles,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger
SCLMultifamily - High Rise,SCLMultifamily - High RiseElectric Vehicles,SCL,Multifamily - High Rise,Electric Vehicles,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger,Market Average EV Charger
SCLSingle Family Low Income,SCLSingle Family Low IncomeAir Purifier,SCL,Single Family Low Income,Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeAir Purifier,SCL,Multifamily - Low Rise Low Income,Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeAir Purifier,SCL,Multifamily - Mid Rise Low Income,Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeAir Purifier,SCL,Multifamily - High Rise Low Income,Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier
SCLSingle Family Low Income,SCLSingle Family Low IncomeComputer - Desktop,SCL,Single Family Low Income,Computer - Desktop,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeComputer - Desktop,SCL,Multifamily - Low Rise Low Income,Computer - Desktop,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeComputer - Desktop,SCL,Multifamily - Mid Rise Low Income,Computer - Desktop,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeComputer - Desktop,SCL,Multifamily - High Rise Low Income,Computer - Desktop,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline
SCLSingle Family Low Income,SCLSingle Family Low IncomeComputer - Laptop,SCL,Single Family Low Income,Computer - Laptop,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeComputer - Laptop,SCL,Multifamily - Low Rise Low Income,Computer - Laptop,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeComputer - Laptop,SCL,Multifamily - Mid Rise Low Income,Computer - Laptop,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeComputer - Laptop,SCL,Multifamily - High Rise Low Income,Computer - Laptop,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer
SCLSingle Family Low Income,SCLSingle Family Low IncomeCooking Oven,SCL,Single Family Low Income,Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCooking Oven,SCL,Multifamily - Low Rise Low Income,Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeCooking Oven,SCL,Multifamily - Mid Rise Low Income,Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCooking Oven,SCL,Multifamily - High Rise Low Income,Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven
SCLSingle Family Low Income,SCLSingle Family Low IncomeCooking Range,SCL,Single Family Low Income,Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCooking Range,SCL,Multifamily - Low Rise Low Income,Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeCooking Range,SCL,Multifamily - Mid Rise Low Income,Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCooking Range,SCL,Multifamily - High Rise Low Income,Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range
SCLSingle Family Low Income,SCLSingle Family Low IncomeCool Central,SCL,Single Family Low Income,Cool Central,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System)
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCool Central,SCL,Multifamily - Low Rise Low Income,Cool Central,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System)
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeCool Central,SCL,Multifamily - Mid Rise Low Income,Cool Central,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System)
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCool Central,SCL,Multifamily - High Rise Low Income,Cool Central,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System)
SCLSingle Family Low Income,SCLSingle Family Low IncomeCool Room,SCL,Single Family Low Income,Cool Room,"Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)"
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCool Room,SCL,Multifamily - Low Rise Low Income,Cool Room,"Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)"
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeCool Room,SCL,Multifamily - Mid Rise Low Income,Cool Room,"Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)"
