Segment,End Use,Construction Vintage,Start Fuel Share,End Fuel Share,Start Year,End Year,Interpolate Fuel Share,Customer Class
Multifamily - Low Rise Low Income,Water Heat GT 55 Gal,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Water Heat GT 55 Gal,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Water Heat LE 55 Gal,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Water Heat LE 55 Gal,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Air Purifier,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Air Purifier,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Circulation - DHW,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Circulation - DHW,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Circulation - Hydronic Heating,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Circulation - Hydronic Heating,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Computer - Desktop,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Computer - Desktop,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Computer - Laptop,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Computer - Laptop,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Cooking Oven,Existing,0.9302325579999999,0.9302325579999999,2021,2041,linear,Residential
Multifamily - Mid Rise,Cooking Oven,New,0.9302325579999999,0.9302325579999999,2021,2041,linear,Residential
Multifamily - Mid Rise,Cooking Range,Existing,0.9302325579999999,0.9302325579999999,2021,2041,linear,Residential
Multifamily - Mid Rise,Cooking Range,New,0.9302325579999999,0.9302325579999999,2021,2041,linear,Residential
Multifamily - Mid Rise,Cool Central,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Cool Central,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Cool Room,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Cool Room,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Copier,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Copier,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,DVD Player,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,DVD Player,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Dryer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Dryer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Freezer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Freezer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Heat Central,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Mid Rise,Heat Central,New,0.0,1.0,2021,2041,linear,Residential
