Segment,End Use,Construction Vintage,Efficiency Level,Efficiency Description,Start Efficiency Share,End Efficiency Share,Start Year,End Year,Interpolate Efficiency Share,Customer Class
Multifamily - High Rise,Heat Pump,New,2,Federal Standard 2015 Heat Pump - SEER/EER 14/12 and HSPF 8.2 (Split System),0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,New,3,Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),0.7418750409999999,0.7418750409999999,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,New,4,Market Average Heat Pump,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,New,5,HVAC Upgrade - Heat Pump Upgrade to 9.5 HSPF/15.5 SEER + HZ1CZ1,0.17347566,0.17347566,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,New,6,HVAC Upgrade - Heat Pump Upgrade to 12 HSPF/18 SEER + HZ1CZ1,0.084649299,0.084649299,2021,2041,linear,Residential
Multifamily - High Rise,Heat Room,Existing,1,Standard Baseboard Zonal Heating,1.0,0.75,2021,2041,linear,Residential
Multifamily - High Rise,Heat Room,Existing,2,MF Market Average Zonal Heating,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Heat Room,Existing,3,MF DHP Upgrade,0.0,0.25,2021,2041,linear,Residential
Multifamily - High Rise,Heat Room,New,1,Standard Baseboard Zonal Heating,1.0,0.75,2021,2041,linear,Residential
Multifamily - High Rise,Heat Room,New,2,MF Market Average Zonal Heating,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Heat Room,New,3,MF DHP Upgrade,0.0,0.25,2021,2041,linear,Residential
Multifamily - High Rise,Home Audio System,Existing,1,Standard Home Audio System,0.857142857,0.857142857,2021,2041,linear,Residential
Multifamily - High Rise,Home Audio System,Existing,2,ENERGY STAR Home Audio System,0.14285714300000002,0.14285714300000002,2021,2041,linear,Residential
Multifamily - High Rise,Home Audio System,New,1,Standard Home Audio System,0.857142857,0.857142857,2021,2041,linear,Residential
Multifamily - High Rise,Home Audio System,New,2,ENERGY STAR Home Audio System,0.14285714300000002,0.14285714300000002,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,Existing,1,Incandescent - Below Standard,0.004209335,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,Existing,2,Halogen - EISA Standard,0.13408932699999998,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,Existing,3,EISA 2020 Backstop Exterior Lamp,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,Existing,4,CFL,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,Existing,5,Market Average Lighting Exterior,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,Existing,6,LED,0.8617013370000001,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,New,1,Incandescent - Below Standard,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,New,2,Halogen - EISA Standard,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,New,3,EISA 2020 Backstop Exterior Lamp,0.13829866300000002,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,New,4,CFL,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,New,5,Market Average Lighting Exterior,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,New,6,LED,0.8617013370000001,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Linear Fluorescent,Existing,1,Federal Standard 2018 T8 Linear Fluorescent Lamp,0.9,0.9,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Linear Fluorescent,Existing,2,Market Average Linear Fluorescent,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Linear Fluorescent,Existing,3,TLED Linear Lamp,0.1,0.1,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Linear Fluorescent,New,1,Federal Standard 2018 T8 Linear Fluorescent Lamp,0.9,0.9,2021,2041,linear,Residential
