RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLSingle Family,SCLSingle FamilyCooking Range,SCL,Single Family,Cooking Range,Existing,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556
SCLSingle Family Low Income,SCLSingle Family Low IncomeCooking Range,SCL,Single Family Low Income,Cooking Range,Existing,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556,0.755555556
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCL,Multifamily - High Rise,Cool Central,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCool Central,SCL,Multifamily - High Rise Low Income,Cool Central,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCool Central,SCL,Multifamily - Low Rise,Cool Central,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCool Central,SCL,Multifamily - Low Rise Low Income,Cool Central,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCool Central,SCL,Multifamily - Mid Rise,Cool Central,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeCool Central,SCL,Multifamily - Mid Rise Low Income,Cool Central,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyCool Central,SCL,Single Family,Cool Central,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeCool Central,SCL,Single Family Low Income,Cool Central,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCL,Multifamily - High Rise,Cool Room,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCool Room,SCL,Multifamily - High Rise Low Income,Cool Room,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCool Room,SCL,Multifamily - Low Rise,Cool Room,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCool Room,SCL,Multifamily - Low Rise Low Income,Cool Room,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCool Room,SCL,Multifamily - Mid Rise,Cool Room,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeCool Room,SCL,Multifamily - Mid Rise Low Income,Cool Room,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyCool Room,SCL,Single Family,Cool Room,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeCool Room,SCL,Single Family Low Income,Cool Room,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseCopier,SCL,Multifamily - High Rise,Copier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCopier,SCL,Multifamily - High Rise Low Income,Copier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCopier,SCL,Multifamily - Low Rise,Copier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCopier,SCL,Multifamily - Low Rise Low Income,Copier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCopier,SCL,Multifamily - Mid Rise,Copier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeCopier,SCL,Multifamily - Mid Rise Low Income,Copier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyCopier,SCL,Single Family,Copier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeCopier,SCL,Single Family Low Income,Copier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseDryer,SCL,Multifamily - High Rise,Dryer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeDryer,SCL,Multifamily - High Rise Low Income,Dryer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseDryer,SCL,Multifamily - Low Rise,Dryer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeDryer,SCL,Multifamily - Low Rise Low Income,Dryer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseDryer,SCL,Multifamily - Mid Rise,Dryer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeDryer,SCL,Multifamily - Mid Rise Low Income,Dryer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
